_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,negative_yn,thoughtcat,id,negative_yn_gold,num,num2,text,thoughtcat_gold,time
1562458583,1/27/2018 00:00:44,false,3309552753,,1/26/2018 23:59:47,false,neodev,0.88,44062380,USA,CA,San Francisco,45.56.195.50,no,,,,,,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~",,
1562458583,1/27/2018 01:05:53,false,3309654175,,1/27/2018 01:05:05,false,elite,0.96,44218965,USA,CA,San Francisco,45.56.195.10,no,,,,,,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~",,
1562458583,1/27/2018 08:49:02,false,3310183198,,1/27/2018 08:48:00,false,bitcoinget,0.8571,44086620,USA,NY,New York,159.203.87.119,no,,,,,,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~",,
1562458583,1/27/2018 10:00:58,false,3310261243,,1/27/2018 10:00:24,false,instagc,1.0,35903629,GBR,W4,Ayr,95.147.52.30,no,,,,,,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~",,
1562458583,1/27/2018 10:31:29,false,3310293763,,1/27/2018 10:30:41,false,getpaid,1.0,40032300,GBR,G5,Margate,79.78.79.33,no,,,,,,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~",,
1562458584,1/27/2018 17:01:36,false,3310704579,,1/27/2018 17:00:49,false,elite,0.9565,44185272,USA,CA,Los Angeles,204.152.203.155,yes,1,,,,,has never walked for so long in such heavy rain and been so amazingly drenched... not to mention the two guys who walked in on me changing with beer in their hands...,,
1562458584,1/27/2018 19:40:55,false,3310889624,,1/27/2018 19:39:55,false,elite,0.8824,44229653,USA,AL,Bon Air,24.179.4.50,no,,,,,,has never walked for so long in such heavy rain and been so amazingly drenched... not to mention the two guys who walked in on me changing with beer in their hands...,,
1562458584,1/28/2018 14:18:36,false,3311701625,,1/28/2018 14:14:13,false,elite,0.8261,28709211,CAN,MB,Brandon,216.36.170.61,yes,1,,,,,has never walked for so long in such heavy rain and been so amazingly drenched... not to mention the two guys who walked in on me changing with beer in their hands...,,
1562458585,1/27/2018 16:25:33,false,3310655470,,1/27/2018 16:24:13,false,elite,0.96,44218965,USA,CA,San Jose,173.245.66.16,no,,,,,,has been tasked with making 'ninja boots' for his daughter.  This apparently requires an awl and an x-acto knife to achieve 'maximum ninjafulness',,
1562458585,1/27/2018 16:37:22,false,3310671610,,1/27/2018 16:35:56,false,elite,0.9565,44185272,USA,CA,Los Angeles,204.152.203.155,no,,,,,,has been tasked with making 'ninja boots' for his daughter.  This apparently requires an awl and an x-acto knife to achieve 'maximum ninjafulness',,
1562458585,1/27/2018 18:45:13,false,3310830938,,1/27/2018 18:43:34,false,elite,0.8824,44229653,USA,AL,Bon Air,24.179.4.50,no,,,,,,has been tasked with making 'ninja boots' for his daughter.  This apparently requires an awl and an x-acto knife to achieve 'maximum ninjafulness',,
1562458586,1/27/2018 16:29:01,false,3310659955,,1/27/2018 16:27:35,false,elite,0.96,44218965,USA,CA,San Jose,173.245.66.16,no,,,,,,I've got to follow my heart No matter how far I've gotta roll the dice Never look back and never think twice,,
1562458586,1/27/2018 16:39:09,false,3310674466,,1/27/2018 16:38:27,false,elite,0.9565,44185272,USA,CA,Los Angeles,204.152.203.155,yes,3,,,,,I've got to follow my heart No matter how far I've gotta roll the dice Never look back and never think twice,,
1562458586,1/27/2018 17:30:07,false,3310741465,,1/27/2018 17:29:35,false,instagc,1.0,28524232,CAN,ON,Scarborough,99.226.198.111,no,,,,,,I've got to follow my heart No matter how far I've gotta roll the dice Never look back and never think twice,,
1562458587,1/27/2018 00:21:53,false,3309593845,,1/27/2018 00:20:34,false,neodev,0.88,44062380,USA,CA,San Francisco,45.56.195.190,no,,,,,,"Of anlamadim gitti. Nedir bu /1 Kadin 1 Erkek/"" dizisine olan duskunluk? Yillarin dizisi herkesin simdi mi aklina geldi? Bu ne?""",,
1562458587,1/27/2018 12:29:19,false,3310393370,,1/27/2018 12:27:04,false,instagc,0.8696,19838540,USA,AL,Mobile,68.63.67.24,no,,,,,,"Of anlamadim gitti. Nedir bu /1 Kadin 1 Erkek/"" dizisine olan duskunluk? Yillarin dizisi herkesin simdi mi aklina geldi? Bu ne?""",,
1562458587,1/27/2018 13:31:45,false,3310472429,,1/27/2018 13:30:49,false,clixsense,0.9091,19638651,USA,SC,Murrells Inlet,98.122.122.239,no,,,,,,"Of anlamadim gitti. Nedir bu /1 Kadin 1 Erkek/"" dizisine olan duskunluk? Yillarin dizisi herkesin simdi mi aklina geldi? Bu ne?""",,
1562458588,1/27/2018 00:12:49,false,3309579748,,1/27/2018 00:04:44,false,neodev,0.88,44062380,USA,CA,San Francisco,45.56.195.50,no,,,,,,"Did you say it? /I love you... I don't ever want to live without you... You changed my life.../"" Did you say it? Make a plan... Set a goal... Work toward it... But every now and again",,
1562458588,1/27/2018 01:12:43,false,3309665938,,1/27/2018 01:11:44,false,elite,0.96,44218965,USA,CA,San Francisco,45.56.195.10,yes,1,,,,,"Did you say it? /I love you... I don't ever want to live without you... You changed my life.../"" Did you say it? Make a plan... Set a goal... Work toward it... But every now and again",,
1562458588,1/27/2018 03:34:14,false,3309870775,,1/27/2018 03:32:19,false,instagc,0.9091,22430315,USA,NM,Albuquerque,73.26.174.122,no,,,,,,"Did you say it? /I love you... I don't ever want to live without you... You changed my life.../"" Did you say it? Make a plan... Set a goal... Work toward it... But every now and again",,
1562458588,1/27/2018 10:34:10,false,3310296287,,1/27/2018 10:33:17,false,getpaid,1.0,40032300,GBR,G5,Margate,79.78.79.33,no,,,,,,"Did you say it? /I love you... I don't ever want to live without you... You changed my life.../"" Did you say it? Make a plan... Set a goal... Work toward it... But every now and again",,
1562458589,1/28/2018 16:22:05,false,3311807828,,1/28/2018 16:20:52,false,instagc,0.8462,27914150,USA,KS,Emporia,67.61.151.85,yes,3,,,,,"sorry guys,... Just need time to blow off steam. Got some personal issues and other things just happen to set me off. Ill get back on when I have a more clear head.  L8rs",,
1562458589,1/28/2018 16:30:01,false,3311814392,,1/28/2018 16:29:07,false,elite,1.0,44062216,GBR,H9,London,161.74.220.192,yes,1,,,,,"sorry guys,... Just need time to blow off steam. Got some personal issues and other things just happen to set me off. Ill get back on when I have a more clear head.  L8rs",,
1562458589,1/29/2018 18:13:01,false,3314208183,,1/29/2018 18:11:55,false,elite,0.8333,43584008,USA,CA,El Macero,67.182.20.84,yes,3,,,,,"sorry guys,... Just need time to blow off steam. Got some personal issues and other things just happen to set me off. Ill get back on when I have a more clear head.  L8rs",,
1562458590,1/27/2018 16:43:29,false,3310679970,,1/27/2018 16:39:12,false,elite,0.9565,44185272,USA,CA,Los Angeles,204.152.203.155,yes,1,,,,,"T'was a fight at school today... (around 2:30-ish)-- One 7th grader was punching another, and the other one threw a Gatorade bottle at him. The one who started punching first started chasing the other one into the office. Mrs. Perry sent me to get Mr. Almy... and you can guess what happened next... (lol, people were cheering when the fight started.)",,
1562458590,1/27/2018 18:46:25,false,3310832231,,1/27/2018 18:45:16,false,elite,0.8824,44229653,USA,AL,Bon Air,24.179.4.50,no,,,,,,"T'was a fight at school today... (around 2:30-ish)-- One 7th grader was punching another, and the other one threw a Gatorade bottle at him. The one who started punching first started chasing the other one into the office. Mrs. Perry sent me to get Mr. Almy... and you can guess what happened next... (lol, people were cheering when the fight started.)",,
1562458590,1/28/2018 12:55:42,false,3311628049,,1/28/2018 12:49:29,false,elite,0.8261,28709211,CAN,MB,Brandon,216.36.170.61,no,,,,,,"T'was a fight at school today... (around 2:30-ish)-- One 7th grader was punching another, and the other one threw a Gatorade bottle at him. The one who started punching first started chasing the other one into the office. Mrs. Perry sent me to get Mr. Almy... and you can guess what happened next... (lol, people were cheering when the fight started.)",,
